visit_date,"utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01,yandex,cpc,freemium,103,66611,103,25,1654810
2023-06-01,yandex,cpc,prof-frontend,78,40366,78,12,1057000
2023-06-01,yandex,cpc,base-python,31,19178,31,7,476021
2023-06-01,yandex,cpc,prof-python,62,34609,62,7,613196
2023-06-01,vk,cpc,freemium-frontend,43,34670,43,5,338083
2023-06-01,vk,cpc,prof-python,40,41576,40,5,355564
2023-06-01,yandex,cpc,prof-java,49,26835,49,4,284590
2023-06-01,yandex,cpc,base-frontend,40,18611,40,3,268515
2023-06-01,yandex,cpc,prof-professions-brand,13,7586,13,3,154287
2023-06-01,yandex,cpc,prof-data-analytics,14,7921,14,2,220264
2023-06-01,vk,cpc,prof-java,23,14773,23,2,232726
2023-06-30,admitad,cpa,admitad,2,0,2,2,201150
2023-06-01,yandex,cpc,base-professions-retarget,4,604,4,1,134100
2023-06-01,yandex,cpc,base-java,20,12739,20,1,48000
2023-06-01,vk,cpc,freemium-python,25,11713,25,1,1560
